Sentence,Type,Factual/Subjective,Sentiment
"The ocean covers 71% of Earth's surface.",Affirmation,Factual,Neutral
"I’m not afraid of heights.",Negation,Subjective,Happiness
"Puppies bring me so much joy.",Affirmation,Subjective,Euphoria
"The sun didn’t rise this morning.",Negation,Factual,Sadness
"Climate change is accelerating.",Affirmation,Factual,Anger
"She doesn’t enjoy spicy food.",Negation,Subjective,Neutral
"Humans need oxygen to survive.",Affirmation,Factual,Neutral
"I can’t stand rainy days.",Affirmation,Subjective,Sadness
"The concert was absolutely breathtaking.",Affirmation,Subjective,Euphoria
"Elephants never forget.",Affirmation,Factual,Neutral
"I don’t believe in ghosts.",Negation,Subjective,Neutral
"Laughter is the best medicine.",Affirmation,Subjective,Happiness
"The experiment failed due to contamination.",Affirmation,Factual,Sadness
"He didn’t finish the race.",Negation,Factual,Neutral
"My favorite color is blue.",Affirmation,Subjective,Happiness
"Volcanoes erupt unpredictably.",Affirmation,Factual,Neutral
"I’m not interested in politics.",Negation,Subjective,Neutral
"Freshly baked bread smells amazing.",Affirmation,Subjective,Happiness
"The moon doesn’t emit its own light.",Negation,Factual,Neutral
"Traffic jams make me furious.",Affirmation,Subjective,Anger
"Plants convert sunlight into energy.",Affirmation,Factual,Neutral
"I don’t feel safe in crowds.",Negation,Subjective,Sadness
"Winning the game felt incredible.",Affirmation,Subjective,Euphoria
"Snakes aren’t mammals.",Negation,Factual,Neutral
"I love the sound of rain.",Affirmation,Subjective,Happiness
"The meeting was canceled unexpectedly.",Affirmation,Factual,Sadness
"She doesn’t trust strangers easily.",Negation,Subjective,Neutral
"Exercise improves mental health.",Affirmation,Factual,Happiness
"I’m not good at singing.",Negation,Subjective,Sadness
"A rainbow appeared after the storm.",Affirmation,Factual,Happiness
"Computers don’t understand emotions.",Negation,Factual,Neutral
"I hate waking up early.",Affirmation,Subjective,Anger
"The Earth orbits the sun in 365 days.",Affirmation,Factual,Neutral
"I don’t enjoy horror movies.",Negation,Subjective,Neutral
"Her smile lights up the room.",Affirmation,Subjective,Happiness
"Oil and water don’t mix.",Negation,Factual,Neutral
